query,value,growth
"Orden","100","100"
"Merkel","99","99"
"#LOLFanFest2026LIVE","98","98"
"Arsenal","97","97"
"Wochenteiler","96","96"
"#OUR_GLOW_IS_SEVEN","95","95"
"#BLUE_MOON_7_DESTINY","94","94"
"Ebola","93","93"
"#dasperfektedinner","92","92"
"Massie","91","91"
"Bomberstiefel","90","90"
"#TheBoys","89","89"
"Schönen Mittwoch","88","88"
"Schulpflicht","87","87"
"Beileid","86","86"
"Nagelsmann","85","85"
"Hamburg","84","84"
"Pflegeversicherung","83","83"
"Reul","82","82"
"Rossmann","81","81"
"Charité","80","80"
"Fachleute","79","79"
"Bahlsen","78","78"
"Premier League","77","77"
"Urbig","76","76"
"Hirschhausen","75","75"
"Radfahrer","74","74"
"Parkplätze","73","73"
"Führich","72","72"
"Bananenrepublik","71","71"
"Bournemouth","70","70"
"Flagge","69","69"
"Bergfest","68","68"
"Mietendeckel","67","67"
"Champions","66","66"
"Paolo Pinkel","65","65"
"Kanzlerin","64","64"
"Lithuania","63","63"
"Ditib","62","62"
"Zigeunerschnitzel","61","61"
"Marcant","60","60"
"Nius","59","59"
"schönen dienstag","58","58"
"Parallelgesellschaften","57","57"
"Abendbrot","56","56"
"Punk","55","55"
"Strom","54","54"
"Auszeichnungen","53","53"
"Gemini 3.5 Flash","52","52"
"Bäume","51","51"
"Orden","50","50"
"#LOLFanFest2026LIVE","49","49"
"Merkel","48","48"
"Arsenal","47","47"
"Wochenteiler","46","46"
"#OUR_GLOW_IS_SEVEN","45","45"
"#BLUE_MOON_7_DESTINY","44","44"
"Ebola","43","43"
"#dasperfektedinner","42","42"
"Massie","41","41"
"Schönen Mittwoch","40","40"
"Bomberstiefel","39","39"
"#COYG","38","38"
"Beileid","37","37"
"Schulpflicht","36","36"
"Nagelsmann","35","35"
"Bahlsen","34","34"
"Fachleute","33","33"
"Ditib","32","32"
"Pflegeversicherung","31","31"
"Bananenrepublik","30","30"
"Hamburg","29","29"
"Radfahrer","28","28"
"Charité","27","27"
"Premier League","26","26"
"Rossmann","25","25"
"Hirschhausen","24","24"
"Flagge","23","23"
"Urbig","22","22"
"Führich","21","21"
"Bournemouth","20","20"
"Bergfest","19","19"
"Bäume","18","18"
"Champions","17","17"
"Trinkgeld","16","16"
"Mietendeckel","15","15"
"Lithuania","14","14"
"Kanzlerin","13","13"
"Zigeunerschnitzel","12","12"
"Klimakrise","11","11"
"Marcant","10","10"
"Parallelgesellschaften","9","9"
"Paolo Pinkel","8","8"
"schönen dienstag","7","7"
"Nius","6","6"
"Abendbrot","5","5"
"Gemini 3.5 Flash","4","4"
"Baumann","3","3"
"Strom","2","2"
"LINGLING BA DIOR FRAGRANCE","1","1"
