query,value,growth
"Bolloré","100","100"
"#KohLanta","99","99"
"Jean Moulin","98","98"
"The Boys","97","97"
"Arsenal","96","96"
"Neymar","95","95"
"#LOLFanFest2026LIVE","94","94"
"Bournemouth","93","93"
"#BOUMCI","92","92"
"Gilles Lellouche","91","91"
"Brésil","90","90"
"Guillaume","89","89"
"#OUR_GLOW_IS_SEVEN","88","88"
"#BLUE_MOON_7_DESTINY","87","87"
"Wemby","86","86"
"Kroupi","85","85"
"Truffert","84","84"
"Pigasse","83","83"
"Brunson","82","82"
"Cindy","81","81"
"Gunners","80","80"
"Bruel","79","79"
"Hugo","78","78"
"Banque de France","77","77"
"Monsieur Mathieu Lefèvre","76","76"
"San Diego","75","75"
"Cannes","74","74"
"Daniel","73","73"
"Clarisse","72","72"
"Kingdom Come","71","71"
"Monsieur le Ministre","70","70"
"Knicks","69","69"
"Thomas Faurel","68","68"
"Premier League","67","67"
"Portugal","66","66"
"Chambord","65","65"
"Harden","64","64"
"Caruso","63","63"
"Guardiola","62","62"
"Arteta","61","61"
"Joâo Pedro","60","60"
"Emmanuel Grégoire","59","59"
"Massie","58","58"
"Carlo","57","57"
"Spurs","56","56"
"Butcher","55","55"
"Mistral","54","54"
"Chet","53","53"
"Cynthia","52","52"
"Canadians","51","51"
"Bolloré","50","50"
"#KohLanta","49","49"
"Jean Moulin","48","48"
"Arsenal","47","47"
"Neymar","46","46"
"#LOLFanFest2026LIVE","45","45"
"The Boys","44","44"
"Bournemouth","43","43"
"Brésil","42","42"
"#BOUMCI","41","41"
"Guillaume","40","40"
"Lellouche","39","39"
"Wemby","38","38"
"#OUR_GLOW_IS_SEVEN","37","37"
"#BLUE_MOON_7_DESTINY","36","36"
"Kroupi","35","35"
"Truffert","34","34"
"Pigasse","33","33"
"Cindy","32","32"
"Hugo","31","31"
"Brunson","30","30"
"Gunners","29","29"
"Harden","28","28"
"Clarisse","27","27"
"Bruel","26","26"
"Daniel","25","25"
"Calvin Klein","24","24"
"San Diego","23","23"
"Cannes","22","22"
"Portugal","21","21"
"Caruso","20","20"
"Knicks","19","19"
"Premier League","18","18"
"Chambord","17","17"
"Joao Pedro","16","16"
"Banque de France","15","15"
"Guardiola","14","14"
"Dongfeng","13","13"
"Arteta","12","12"
"Cynthia","11","11"
"Spurs","10","10"
"L&#39;Arcom","9","9"
"Chet","8","8"
"Massie","7","7"
"Monsieur le Ministre","6","6"
"Carlo","5","5"
"Vilnius","4","4"
"Manchester City","3","3"
"Leroy Merlin","2","2"
"Bruno Le Maire","1","1"
