query,value,growth
"#乃木坂の心にお花を","100","100"
"#とぅるろろろろろろおおぉぉ","99","99"
"#ラジキング","98","98"
"#ぷよぷよxSimeji","97","97"
"パスト・カルデア","96","96"
"マエケン","95","95"
"ロッキン","94","94"
"#岸優太_Instagram","93","93"
"試合成立","92","92"
"ドリームコア","91","91"
"魔神任務","90","90"
"ノーゲーム","89","89"
"藤原くん","88","88"
"萩原先生","87","87"
"オンラインくじ","86","86"
"小久保くん","85","85"
"党首討論","84","84"
"山本泰寛","83","83"
"消費税ゼロ法案","82","82"
"はちみつレモン","81","81"
"シンケンレッド","80","80"
"乗り越しラブストーリー","79","79"
"プルーネ","78","78"
"茨木くん","77","77"
"軍師官兵衛","76","76"
"シグルド","75","75"
"山中くん","74","74"
"世界配信","73","73"
"郷愁永巡刻盤","72","72"
"提出明言","71","71"
"オベロン","70","70"
"ザ・ボーイズ","69","69"
"スキン大会","68","68"
"板山と山本","67","67"
"ななしいんく","66","66"
"俺たちのPRIDE対談","65","65"
"アイドル音楽フェス","64","64"
"毛利くん","63","63"
"大井記念","62","62"
"一音一生","61","61"
"フランベ","60","60"
"脊髄梗塞","59","59"
"告知の告知","58","58"
"椎葉くん","57","57"
"Sweetness","56","56"
"陰謀論パーキング","55","55"
"ギルくん","54","54"
"The ONE","53","53"
"シンケンジャー","52","52"
"美穂さん","51","51"
"#乃木坂の心にお花を","50","50"
"#とぅるろろろろろろおおぉぉ","49","49"
"ロッキン","48","48"
"パスト・カルデア","47","47"
"オンラインくじ","46","46"
"過去のカルデア","45","45"
"魔神任務","44","44"
"党首討論","43","43"
"はちみつレモン","42","42"
"軍師官兵衛","41","41"
"スキン大会","40","40"
"マエケン","39","39"
"#アニポケ","38","38"
"#ワンダーボヤージュ","37","37"
"茨木くん","36","36"
"プルーネ","35","35"
"#ビーノ35周年","34","34"
"山本泰寛","33","33"
"萩原先生","32","32"
"めじるしアクセサリー","31","31"
"告知の告知","30","30"
"美穂さん","29","29"
"PRODUCE 101","28","28"
"ドリームコア","27","27"
"世界配信","26","26"
"ショート熊谷","25","25"
"闇の魔法少女","24","24"
"乗り越しラブストーリー","23","23"
"ザ・ボーイズ","22","22"
"ギルくん","21","21"
"ドゥリン","20","20"
"ロストワン","19","19"
"モザイク","18","18"
"脊髄梗塞","17","17"
"チケットデザインカード","16","16"
"スタートデッキ引き取り希望","15","15"
"EVNNE","14","14"
"オトメメロン","13","13"
"シグルド","12","12"
"クインシーメロン","11","11"
"Angelo","10","10"
"多重人格診断","9","9"
"ダンジョンダイスモンスターズ","8","8"
"陰謀論パーキング","7","7"
"ベテルギウス","6","6"
"到着後再点検","5","5"
"アンデスメロン","4","4"
"板山と山本","3","3"
"戦術対抗戦","2","2"
"ロジャーさん","1","1"
