"query","search interest","increase percent"
"your ai slop bores me",2,"2,600%"
"lg oled evo ai c5 4k smart tv",1,"650%"
"claude ai login",1,"200%"
"the ai doc",1,"190%"
"claude ai",66,"160%"
"claud ai",1,"150%"
"claude",61,"140%"
"anthropic",13,"100%"
"anthropic ai",13,"80%"
"manus ai",3,"40%"
"turnitin ai checker",2,"30%"
"midjourney",2,"30%"
"loveable ai",0,"30%"
"flow ai",9,"30%"
"ai detection",11,"30%"
"kling ai",4,"30%"
"lovable ai",2,"30%"
"agentic ai",10,"30%"
"ai mode",22,"30%"
"grok ai",17,"20%"
"canva ai",8,"20%"
"gamma ai",3,"20%"
"grok",16,"20%"
"perplexity ai",13,"20%"
"venice ai",3,"20%"
"open ai",37,"20%"
"google ai mode",4,"10%"
"midjourney ai",2,"10%"
"deep ai",11,"10%"
"gemeni ai",1,"10%"
"wix ai",1,"10%"
"elevenlabs",1,"10%"
"cursor ai",5,"9%"
"copilot ai",10,"9%"
"microsoft ai",22,"8%"
"meshy ai",1,"6%"
"perplexity",12,"5%"
"otter ai",2,"4%"
"ai image editor",2,"4%"
"deepseek ai",3,"3%"
"higgsfield ai",2,"2%"
"cloud ai",17,"2%"
"grammarly ai checker",1,"2%"
"grubby ai",0,"1%"
"handshake ai",2,"1%"
"ai google",93,"1%"
"grammarly ai",4,"0%"
"ai overview",14,"-1%"
"quillbot",1,"-1%"
"gptzero",1,"-1%"
