"query","search interest","increase percent"
"what is ai",100,"-30%"
"ai google",93,"1%"
"google ai",90,"-5%"
"free ai",80,"-8%"
"claude ai",66,"160%"
"claude",61,"140%"
"ai gemini",55,"-9%"
"gemini ai",55,"-7%"
"gemini",54,"-10%"
"ai news",53,"-50%"
"ai generator",41,"-6%"
"ai detector",40,"-10%"
"open ai",37,"20%"
"school ai",32,"-4%"
"ai chat",29,"-20%"
"chat ai",28,"-20%"
"ai checker",25,"-3%"
"ai mode",22,"30%"
"microsoft ai",22,"8%"
"character ai",21,"-30%"
"ai studio",19,"-8%"
"meta ai",18,"-20%"
"cloud ai",17,"2%"
"grok ai",17,"20%"
"grok",16,"20%"
"ai check",14,"-20%"
"ai overview",14,"-1%"
"anthropic",13,"100%"
"perplexity ai",13,"20%"
"anthropic ai",13,"80%"
"perplexity",12,"5%"
"ai image generator",11,"-20%"
"ai detection",11,"30%"
"janitor ai",11,"-20%"
"deep ai",11,"10%"
"humanizer ai",10,"-2%"
"google gemini ai",10,"-20%"
"copilot ai",10,"9%"
"humanizer",10,"-3%"
"copilot",10,"-4%"
"google gemini",10,"-30%"
"agentic ai",10,"30%"
"ai humanizer",10,"-8%"
"flow ai",9,"30%"
"canva ai",8,"20%"
"ai video generator",8,"-10%"
"ai chat gpt",8,"-20%"
"humanize ai",7,"-20%"
"math ai",7,"-5%"
"ask ai",6,"-10%"
