query,value,growth
"#TheBoys","100","100"
"#LOLFanFest2026LIVE","99","99"
"Butcher","98","98"
"Gen V","97","97"
"Good Wednesday","96","96"
"Congratulations Scott","95","95"
"PERTHSANTA HIT THE TRACK","94","94"
"Knicks","93","93"
"Harden","92","92"
"Hughie","91","91"
"Antony Starr","90","90"
"Hump Day","89","89"
"Brunson","88","88"
"Tel Aviv Ted","87","87"
"AIPAC","86","86"
"Boomers","85","85"
"Eric Kripke","84","84"
"TADC","83","83"
"Beaver County","82","82"
"Congrats Scott","81","81"
"Kenny Atkinson","80","80"
"#thetestaments","79","79"
"Rand Paul","78","78"
"Dan Wilson","77","77"
"Bay to Breakers","76","76"
"McConnell","75","75"
"NO MORE DREAM","74","74"
"Mr. NXT","73","73"
"Jake Signals","72","72"
"Libertarians","71","71"
"#ASKCCGG","70","70"
"Castillo","69","69"
"The Cavs","68","68"
"Landry Shamet","67","67"
"#WWENXT","66","66"
"Kentuckians","65","65"
"Munoz","64","64"
"Ketel Marte","63","63"
"Rigged","62","62"
"Ahmadinejad","61","61"
"Maureen Galindo","60","60"
"Independent","59","59"
"Cenk","58","58"
"Danhausen","57","57"
"Mason Miller","56","56"
"American Zionists","55","55"
"Sore","54","54"
"Cannon","53","53"
"Mike Breen","52","52"
"Classless","51","51"
"#TheBoys","50","50"
"#LOLFanFest2026LIVE","49","49"
"Congratulations Scott","48","48"
"Harden","47","47"
"Knicks","46","46"
"Brunson","45","45"
"Hughie","44","44"
"Cavs","43","43"
"PERTHSANTA HIT THE TRACK","42","42"
"Antony Starr","41","41"
"AIPAC","40","40"
"TADC","39","39"
"Kenny Atkinson","38","38"
"Boomers","37","37"
"#thetestaments","36","36"
"Tel Aviv Ted","35","35"
"Dan Wilson","34","34"
"NO MORE DREAM","33","33"
"Congrats Scott","32","32"
"Bay to Breakers","31","31"
"Beaver County","30","30"
"#ASKCCGG","29","29"
"Mike Brown","28","28"
"Rand Paul","27","27"
"Castillo","26","26"
"Mr. NXT","25","25"
"Shamet","24","24"
"Libertarians","23","23"
"Donovan Mitchell","22","22"
"Munoz","21","21"
"Mason Miller","20","20"
"McConnell","19","19"
"#WWENXT","18","18"
"I NEED U","17","17"
"Ketel Marte","16","16"
"Will Klein","15","15"
"MIGA","14","14"
"Rigged","13","13"
"Independent","12","12"
"Kentuckians","11","11"
"Cenk","10","10"
"Danhausen","9","9"
"Andy Pages","8","8"
"Maureen Galindo","7","7"
"American Zionists","6","6"
"Mike Breen","5","5"
"Ahmadinejad","4","4"
"LINGLING BA DIOR FRAGRANCE","3","3"
"4th and OT","2","2"
"Jason Kidd","1","1"
